代码,名称,网格评分,日均振幅(%),震荡纯度,近20日成交额,MA变异系数,趋势斜率
300461,田中精机,29.22,5.74,0.909,5.95 亿,0.0779,0.0007
300418,昆仑万维,27.18,5.3,0.958,69.34 亿,0.086,0.0008
688596,正帆科技,26.43,4.16,0.995,2.60 亿,0.053,0.0034
300351,永贵电器,25.31,4.39,0.974,2.29 亿,0.0566,0.0123
301025,读客文化,25.03,5.22,0.995,3.40 亿,0.0792,0.028
301191,菲菱科思,24.92,5.79,0.971,3.59 亿,0.1096,0.0159
688595,芯海科技,24.75,5.35,0.981,2.43 亿,0.09,0.0219
300624,万兴科技,24.61,5.3,0.98,16.99 亿,0.108,0.0032
300654,世纪天鸿,24.59,5.2,0.993,3.99 亿,0.092,0.0179
300315,掌趣科技,24.39,4.29,0.992,11.63 亿,0.0647,0.0096
301136,招标股份,24.3,5.27,0.994,3.01 亿,0.113,0.0024
603108,润达医疗,24.25,4.94,0.987,4.57 亿,0.0899,0.0112
300688,创业黑马,24.03,5.02,0.995,3.06 亿,0.0956,0.0122
301321,翰博高新,23.56,5.15,0.963,2.16 亿,0.0912,0.0195
300721,怡达股份,23.48,4.85,0.987,3.37 亿,0.0986,0.0053
300788,中信出版,23.43,4.51,0.961,3.04 亿,0.07,0.0152
000863,三湘印象,23.33,4.26,0.958,2.31 亿,0.0615,0.0135
600552,凯盛科技,23.14,3.92,0.964,7.11 亿,0.0491,0.014
300707,威唐工业,22.97,4.61,0.979,3.48 亿,0.0881,0.0082
300667,必创科技,22.85,4.62,0.984,2.23 亿,0.094,0.0049
603703,盛洋科技,22.67,3.99,0.964,2.41 亿,0.06,0.0098
002519,银河电子,22.67,3.98,0.945,19.12 亿,0.0566,0.0093
301085,亚康股份,22.6,5.28,0.993,5.93 亿,0.1246,0.0073
300264,佳创视讯,22.56,5.51,0.959,4.27 亿,0.1157,0.0185
688535,华海诚科,22.5,5.95,0.961,5.21 亿,0.1225,0.0318
002512,达华智能,22.47,4.91,0.98,3.36 亿,0.1009,0.0132
300780,德恩精工,22.41,5.22,0.968,5.89 亿,0.1117,0.0139
300629,新劲刚,22.28,4.22,0.968,3.72 亿,0.059,0.024
603533,掌阅科技,22.25,4.65,0.979,8.88 亿,0.0833,0.0211
300798,锦鸡股份,22.12,5.29,0.974,5.80 亿,0.1302,0.0027
002077,大港股份,22.11,3.98,0.985,6.18 亿,0.076,0.0015
300812,易天股份,22.07,5.41,0.944,6.13 亿,0.111,0.0205
603097,江苏华辰,21.99,4.16,0.941,2.36 亿,0.0598,0.018
688601,力芯微,21.86,4.57,0.985,3.82 亿,0.0745,0.0313
300474,景嘉微,21.78,4.3,0.998,7.18 亿,0.0927,0.0042
002343,慈文传媒,21.7,4.82,0.999,2.16 亿,0.1033,0.0187
601599,浙文影业,21.68,3.76,0.985,6.01 亿,0.0661,0.0046
601799,星宇股份,21.6,3.13,0.984,8.71 亿,0.0344,0.0082
002455,百川股份,21.52,3.96,0.929,14.73 亿,0.069,0.0019
300678,中科信息,21.31,4.42,0.996,2.79 亿,0.1059,0.0009
603058,永吉股份,21.19,3.9,0.951,2.01 亿,0.0628,0.0123
300429,强力新材,20.96,5.35,0.965,3.36 亿,0.0976,0.0486
600761,安徽合力,20.91,3.61,0.982,6.07 亿,0.0627,0.0071
688352,颀中科技,20.9,3.66,0.976,2.95 亿,0.0684,0.0026
000410,沈阳机床,20.89,3.07,0.988,2.48 亿,0.042,0.0035
603738,泰晶科技,20.81,3.57,0.951,3.47 亿,0.0619,0.0015
688036,传音控股,20.64,3.92,0.979,6.27 亿,0.0672,0.0186
603172,万丰股份,20.63,4.04,0.955,2.45 亿,0.0804,0.0066
300842,帝科股份,20.59,4.93,0.913,17.25 亿,0.114,0.0046
001217,华尔泰,20.57,3.88,0.978,2.56 亿,0.0767,0.0078
300141,和顺电气,20.54,4.8,0.952,2.16 亿,0.1036,0.0191
300656,民德电子,20.53,4.49,0.992,2.59 亿,0.1131,0.0036
600775,南京熊猫,20.32,4.66,0.963,5.84 亿,0.0996,0.0213
300589,江龙船艇,20.29,4.51,0.965,7.56 亿,0.1013,0.0135
300123,亚光科技,20.14,4.64,0.988,4.55 亿,0.1129,0.0148
000712,锦龙股份,20.1,4.16,0.996,2.95 亿,0.1034,0.0027
603338,浙江鼎力,20.06,3.28,0.979,2.49 亿,0.0578,0.0024
002682,龙洲股份,19.92,4.94,0.967,2.53 亿,0.124,0.0158
600640,国脉文化,19.77,3.64,0.98,2.78 亿,0.0584,0.0219
002983,芯瑞达,19.76,3.66,0.975,2.20 亿,0.078,0.0026
300053,航宇微,19.68,5.08,0.96,17.52 亿,0.1131,0.0346
002703,浙江世宝,19.65,4.17,0.96,13.23 亿,0.0956,0.0083
300671,富满微,19.6,4.8,0.975,10.80 亿,0.1357,0.0033
300987,川网传媒,19.6,4.52,0.991,2.94 亿,0.1241,0.0045
300133,华策影视,19.56,4.92,0.982,15.25 亿,0.1011,0.0459
301262,海看股份,19.52,3.99,0.982,4.56 亿,0.0758,0.0249
603997,继峰股份,19.48,3.72,1.0,2.04 亿,0.0699,0.0211
002824,和胜股份,19.47,4.19,0.982,3.34 亿,0.108,0.0034
301281,科源制药,19.44,4.47,0.988,2.06 亿,0.1216,0.0058
002712,思美传媒,19.42,4.84,0.998,2.08 亿,0.1354,0.0136
300291,百纳千成,19.32,5.24,0.987,4.69 亿,0.1409,0.0266
