代码,名称,网格综合评分,平均日振幅(%),震荡纯度(0-1),近20日均成交额,MA120变异系数,趋势斜率惩罚
sz159876,有色ETF华宝,13.58,2.33,0.977,1.39 亿,0.057,0.0107
sz159855,影视ETF,13.28,2.87,0.982,1.52 亿,0.0993,0.0127
sh516620,影视ETF,12.78,2.84,0.981,1.47 亿,0.1033,0.0149
sh513360,教育ETF博时,12.4,2.19,0.998,2.29 亿,0.061,0.0153
sh515000,科技ETF,11.49,2.28,0.99,1.02 亿,0.0807,0.0156
sz159977,创业板ETF天弘,11.41,2.21,0.98,1.82 亿,0.0805,0.0096
sh512710,军工龙头ETF,11.14,2.44,0.956,6.61 亿,0.0898,0.0193
sz159852,软件ETF,10.89,2.92,0.991,8.53 亿,0.1542,0.012
sh515230,软件ETF,10.79,2.96,0.991,3.94 亿,0.1556,0.0164
sz159638,高端装备ETF嘉实,10.73,2.48,0.948,0.86 亿,0.0983,0.021
sh515120,创新药ETF,10.59,2.33,0.989,3.01 亿,0.1083,0.0089
sz159992,创新药ETF,10.52,2.29,0.99,5.47 亿,0.1075,0.0076
sz159869,游戏ETF,10.51,3.28,0.969,8.47 亿,0.1676,0.035
sh516010,游戏ETF,10.42,3.27,0.968,1.67 亿,0.168,0.0358
sh512670,国防ETF,10.41,2.45,0.951,1.80 亿,0.1042,0.0196
sh515400,大数据ETF,10.31,2.91,0.973,1.24 亿,0.1456,0.0295
sz159967,创业板成长ETF,10.29,2.59,0.962,1.71 亿,0.1146,0.0271
sh512010,医药ETF易方达,10.25,2.01,0.991,5.47 亿,0.0788,0.0153
sh516970,基建ETF广发,10.25,1.68,0.988,0.64 亿,0.06,0.0019
sh512720,计算机ETF,10.21,2.74,0.98,0.54 亿,0.1481,0.0155
sh512980,传媒ETF,10.17,2.82,0.952,9.90 亿,0.128,0.036
sz159883,医疗器械ETF,10.16,1.99,0.996,2.03 亿,0.0707,0.025
sz159825,农业ETF,10.12,1.77,0.965,1.27 亿,0.0668,0.0019
sh515210,钢铁ETF,9.92,1.94,0.952,1.97 亿,0.0706,0.0159
sz159851,金融科技ETF,9.9,3.09,0.979,4.04 亿,0.1837,0.0213
sz159865,养殖ETF,9.86,1.9,0.995,1.42 亿,0.0706,0.0207
